pick,a0.6_flat,a0.8_flat,a1.0_flat,tiered_0.6_to_0.8_by50,lin_0.8_to_1.00_at64,lin_0.9_to_1.05_at64,alpha_a0.6_flat,alpha_a0.8_flat,alpha_a1.0_flat,alpha_tiered_0.6_to_0.8_by50,alpha_lin_0.8_to_1.00_at64,alpha_lin_0.9_to_1.05_at64
1,3000,3000,3000,3000,3000,3000,0.6,0.8,1.0,0.6,0.8,0.9
2,2999,2999,2999,2999,2999,2999,0.6,0.8,1.0,0.6041,0.8032,0.9024
3,2752,2808,2864,2756,2811,2838,0.6,0.8,1.0,0.6082,0.8063,0.9048
4,2316,2369,2425,2321,2373,2400,0.6,0.8,1.0,0.6122,0.8095,0.9071
5,1807,1849,1892,1813,1854,1874,0.6,0.8,1.0,0.6163,0.8127,0.9095
6,1446,1511,1565,1459,1519,1545,0.6,0.8,1.0,0.6204,0.8159,0.9119
7,1445,1510,1564,1458,1518,1544,0.6,0.8,1.0,0.6245,0.819,0.9143
8,1444,1509,1563,1457,1517,1543,0.6,0.8,1.0,0.6286,0.8222,0.9167
9,1331,1392,1450,1348,1402,1429,0.6,0.8,1.0,0.6327,0.8254,0.919
10,1330,1388,1434,1347,1399,1420,0.6,0.8,1.0,0.6367,0.8286,0.9214
11,1329,1387,1433,1346,1398,1419,0.6,0.8,1.0,0.6408,0.8317,0.9238
12,1328,1386,1432,1345,1397,1418,0.6,0.8,1.0,0.6449,0.8349,0.9262
13,1257,1304,1344,1275,1316,1333,0.6,0.8,1.0,0.649,0.8381,0.9286
14,1100,1137,1169,1116,1148,1161,0.6,0.8,1.0,0.6531,0.8413,0.931
15,981,1011,1037,995,1021,1032,0.6,0.8,1.0,0.6571,0.8444,0.9333
16,946,980,1014,963,994,1008,0.6,0.8,1.0,0.6612,0.8476,0.9357
17,945,979,1013,962,993,1007,0.6,0.8,1.0,0.6653,0.8508,0.9381
18,944,978,1012,961,992,1006,0.6,0.8,1.0,0.6694,0.854,0.9405
19,932,977,1011,959,991,1005,0.6,0.8,1.0,0.6735,0.8571,0.9429
20,880,945,1000,913,967,989,0.6,0.8,1.0,0.6776,0.8603,0.9452
21,812,887,950,851,913,938,0.6,0.8,1.0,0.6816,0.8635,0.9476
22,746,826,894,789,855,882,0.6,0.8,1.0,0.6857,0.8667,0.95
23,690,773,843,736,804,831,0.6,0.8,1.0,0.6898,0.8698,0.9524
24,648,732,802,696,764,791,0.6,0.8,1.0,0.6939,0.873,0.9548
25,616,700,771,666,733,760,0.6,0.8,1.0,0.698,0.8762,0.9571
26,593,677,746,645,711,737,0.6,0.8,1.0,0.702,0.8794,0.9595
27,575,658,726,628,693,718,0.6,0.8,1.0,0.7061,0.8825,0.9619
28,558,641,708,613,677,701,0.6,0.8,1.0,0.7102,0.8857,0.9643
29,540,623,690,597,659,683,0.6,0.8,1.0,0.7143,0.8889,0.9667
30,520,603,669,579,640,664,0.6,0.8,1.0,0.7184,0.8921,0.969
31,498,581,647,558,619,642,0.6,0.8,1.0,0.7224,0.8952,0.9714
32,476,559,624,538,598,621,0.6,0.8,1.0,0.7265,0.8984,0.9738
33,456,538,604,519,578,600,0.6,0.8,1.0,0.7306,0.9016,0.9762
34,438,520,586,502,561,583,0.6,0.8,1.0,0.7347,0.9048,0.9786
35,424,506,572,490,548,570,0.6,0.8,1.0,0.7388,0.9079,0.981
36,415,496,562,481,539,561,0.6,0.8,1.0,0.7429,0.9111,0.9833
37,408,489,554,476,533,554,0.6,0.8,1.0,0.7469,0.9143,0.9857
38,403,483,548,472,528,549,0.6,0.8,1.0,0.751,0.9175,0.9881
39,397,477,542,468,523,544,0.6,0.8,1.0,0.7551,0.9206,0.9905
40,390,469,534,462,516,536,0.6,0.8,1.0,0.7592,0.9238,0.9929
41,381,459,523,453,506,526,0.6,0.8,1.0,0.7633,0.927,0.9952
42,368,445,509,441,493,512,0.6,0.8,1.0,0.7673,0.9302,0.9976
43,353,429,491,426,477,496,0.6,0.8,1.0,0.7714,0.9333,1.0
44,336,410,472,409,459,477,0.6,0.8,1.0,0.7755,0.9365,1.0024
45,318,391,452,392,440,458,0.6,0.8,1.0,0.7796,0.9397,1.0048
46,301,373,432,374,422,438,0.6,0.8,1.0,0.7837,0.9429,1.0071
47,286,356,414,358,404,420,0.6,0.8,1.0,0.7878,0.946,1.0095
48,272,341,397,344,389,404,0.6,0.8,1.0,0.7918,0.9492,1.0119
49,260,328,383,333,376,391,0.6,0.8,1.0,0.7959,0.9524,1.0143
50,250,316,371,323,365,379,0.6,0.8,1.0,0.8,0.9556,1.0167
51,244,310,364,316,358,372,0.6,0.8,1.0,0.8,0.9587,1.019
52,235,300,354,306,349,363,0.6,0.8,1.0,0.8,0.9619,1.0214
53,228,292,344,297,341,354,0.6,0.8,1.0,0.8,0.9651,1.0238
54,220,283,335,289,333,346,0.6,0.8,1.0,0.8,0.9683,1.0262
55,213,275,326,280,324,337,0.6,0.8,1.0,0.8,0.9714,1.0286
56,205,266,316,271,315,327,0.6,0.8,1.0,0.8,0.9746,1.031
57,196,256,305,261,305,317,0.6,0.8,1.0,0.8,0.9778,1.0333
58,187,245,293,249,294,305,0.6,0.8,1.0,0.8,0.981,1.0357
59,177,233,280,238,281,292,0.6,0.8,1.0,0.8,0.9841,1.0381
60,166,221,267,225,269,279,0.6,0.8,1.0,0.8,0.9873,1.0405
61,156,208,253,213,255,265,0.6,0.8,1.0,0.8,0.9905,1.0429
62,146,196,239,200,242,252,0.6,0.8,1.0,0.8,0.9937,1.0452
63,136,185,226,188,230,239,0.6,0.8,1.0,0.8,0.9968,1.0476
64,127,174,215,178,219,227,0.6,0.8,1.0,0.8,1.0,1.05
LADDER_TOTAL,46876,50949,54354,49923,53047,54211,,,,,,
FACTOR_S,1.039096,1.018852,0.999968,1.038823,1.018655,1.009103,,,,,,
CONSERVATION_unit_adjusted,0.8298,0.9199,0.9999,0.884,0.9579,0.9882,,,,,,
PICK_CLASS_vs_numeraire,14.6253,15.983,17.118,15.641,16.6823,17.0703,,,,,,
